index,coordinates
1548,"(35.730609999999999, -78.638900000000007)"
1553,"(35.731929999999998, -78.543000000000006)"
1560,"(35.73348, -78.560599999999994)"
1572,"(35.7376, -78.535499999999999)"
1584,"(35.742789999999999, -78.677700000000002)"
1585,"(35.743189999999998, -78.650599999999997)"
1587,"(35.74539, -78.657200000000003)"
1593,"(35.74924, -78.6494)"
1594,"(35.749380000000002, -78.648700000000005)"
1599,"(35.751350000000002, -78.560599999999994)"
1601,"(35.751690000000004, -78.649199999999993)"
1604,"(35.753369999999997, -78.634699999999995)"
1605,"(35.753390000000003, -78.634)"
1607,"(35.754069999999999, -78.612300000000005)"
1609,"(35.754350000000002, -78.641599999999997)"
1610,"(35.754399999999997, -78.682599999999994)"
1619,"(35.758569999999999, -78.582999999999998)"
1621,"(35.759740000000001, -78.649100000000004)"
1629,"(35.761629999999997, -78.639499999999998)"
1633,"(35.763489999999997, -78.631500000000003)"
1634,"(35.763629999999999, -78.635599999999997)"
1635,"(35.763739999999999, -78.587599999999995)"
1636,"(35.763820000000003, -78.662800000000004)"
1637,"(35.764040000000001, -78.637)"
1638,"(35.764650000000003, -78.662800000000004)"
1640,"(35.76661, -78.695800000000006)"
1642,"(35.768239999999999, -78.637100000000004)"
1643,"(35.768689999999999, -78.620099999999994)"
1644,"(35.76896, -78.709299999999999)"
1645,"(35.768999999999998, -78.648200000000003)"
1646,"(35.76914, -78.613299999999995)"
1648,"(35.76943, -78.636899999999997)"
1649,"(35.769669999999998, -78.633700000000005)"
1650,"(35.770009999999999, -78.683199999999999)"
1654,"(35.770490000000002, -78.722999999999999)"
1655,"(35.770679999999999, -78.632800000000003)"
1659,"(35.77149, -78.633799999999994)"
1660,"(35.771909999999998, -78.593000000000004)"
1661,"(35.772129999999997, -78.592299999999994)"
1664,"(35.772399999999998, -78.648700000000005)"
1665,"(35.772629999999999, -78.714799999999997)"
1672,"(35.773980000000002, -78.628299999999996)"
1673,"(35.774149999999999, -78.638900000000007)"
1676,"(35.774560000000001, -78.591800000000006)"
1680,"(35.775149999999996, -78.627099999999999)"
1681,"(35.775539999999999, -78.624899999999997)"
1682,"(35.775579999999998, -78.680999999999997)"
1683,"(35.775649999999999, -78.6404)"
1684,"(35.77572, -78.643799999999999)"
1686,"(35.776069999999997, -78.645899999999997)"
1687,"(35.776400000000002, -78.628)"
1688,"(35.776519999999998, -78.640699999999995)"
1689,"(35.776530000000001, -78.610900000000001)"
1690,"(35.776940000000003, -78.638199999999998)"
1691,"(35.776940000000003, -78.638099999999994)"
1693,"(35.777099999999997, -78.641900000000007)"
1694,"(35.777250000000002, -78.732200000000006)"
1695,"(35.777380000000001, -78.626400000000004)"
1696,"(35.777679999999997, -78.636600000000001)"
1698,"(35.777709999999999, -78.640199999999993)"
1699,"(35.777889999999999, -78.675399999999996)"
1700,"(35.778100000000002, -78.636600000000001)"
1701,"(35.778219999999997, -78.677499999999995)"
1702,"(35.779049999999998, -78.606800000000007)"
1707,"(35.779730000000001, -78.644999999999996)"
1708,"(35.779780000000002, -78.618499999999997)"
1709,"(35.779820000000001, -78.602500000000006)"
1710,"(35.780110000000001, -78.616900000000001)"
1711,"(35.781030000000001, -78.636499999999998)"
1712,"(35.781149999999997, -78.614999999999995)"
1713,"(35.781269999999999, -78.639499999999998)"
1715,"(35.782060000000001, -78.622200000000007)"
1716,"(35.782380000000003, -78.679000000000002)"
1717,"(35.782420000000002, -78.643199999999993)"
1719,"(35.782499999999999, -78.636700000000005)"
1720,"(35.782780000000002, -78.647300000000001)"
1722,"(35.78331, -78.655900000000003)"
1723,"(35.783479999999997, -78.626300000000001)"
1725,"(35.783940000000001, -78.643199999999993)"
1726,"(35.784050000000001, -78.616600000000005)"
1727,"(35.784109999999998, -78.695400000000006)"
1728,"(35.784390000000002, -78.617400000000004)"
1729,"(35.784480000000002, -78.690799999999996)"
1730,"(35.784500000000001, -78.614400000000003)"
1731,"(35.78454, -78.622100000000003)"
1732,"(35.784730000000003, -78.605500000000006)"
1733,"(35.784770000000002, -78.687899999999999)"
1734,"(35.784840000000003, -78.647300000000001)"
1737,"(35.785029999999999, -78.675700000000006)"
1738,"(35.785110000000003, -78.6755)"
1739,"(35.785420000000002, -78.670699999999997)"
1740,"(35.78548, -78.707899999999995)"
1743,"(35.786409999999997, -78.707800000000006)"
1744,"(35.786670000000001, -78.664299999999997)"
1745,"(35.786679999999997, -78.598500000000001)"
1746,"(35.786720000000003, -78.664100000000005)"
1747,"(35.78678, -78.664599999999993)"
1752,"(35.787550000000003, -78.676000000000002)"
1753,"(35.787779999999998, -78.668199999999999)"
1754,"(35.788049999999998, -78.613399999999999)"
1756,"(35.788589999999999, -78.647099999999995)"
1757,"(35.788640000000001, -78.6721)"
1758,"(35.788670000000003, -78.649799999999999)"
1759,"(35.788710000000002, -78.650899999999993)"
1760,"(35.789000000000001, -78.661199999999994)"
1761,"(35.789090000000002, -78.655900000000003)"
1762,"(35.78913, -78.674000000000007)"
1763,"(35.789160000000003, -78.585700000000003)"
1764,"(35.789259999999999, -78.6511)"
1766,"(35.789409999999997, -78.659300000000002)"
1767,"(35.78942, -78.675799999999995)"
1768,"(35.790390000000002, -78.587599999999995)"
1769,"(35.79092, -78.662800000000004)"
1770,"(35.791159999999998, -78.661199999999994)"
1771,"(35.793239999999997, -78.656899999999993)"
1773,"(35.794629999999998, -78.706900000000005)"
1775,"(35.795479999999998, -78.580699999999993)"
1776,"(35.795639999999999, -78.630399999999995)"
1778,"(35.797420000000002, -78.643900000000002)"
1781,"(35.79851, -78.560599999999994)"
1782,"(35.79862, -78.565100000000001)"
1783,"(35.798850000000002, -78.567499999999995)"
1785,"(35.79954, -78.561700000000002)"
1786,"(35.799689999999998, -78.561999999999998)"
1787,"(35.799729999999997, -78.562200000000004)"
1789,"(35.800530000000002, -78.723399999999998)"
1790,"(35.801580000000001, -78.626599999999996)"
1791,"(35.801760000000002, -78.687399999999997)"
1792,"(35.801960000000001, -78.607200000000006)"
1793,"(35.802190000000003, -78.620599999999996)"
1794,"(35.802619999999997, -78.620000000000005)"
1797,"(35.804099999999998, -78.645600000000002)"
1799,"(35.804929999999999, -78.6434)"
1803,"(35.807009999999998, -78.615899999999996)"
1817,"(35.817689999999999, -78.600800000000007)"
1818,"(35.817990000000002, -78.595399999999998)"
1822,"(35.818779999999997, -78.595699999999994)"
1823,"(35.81917, -78.623800000000003)"
1824,"(35.819209999999998, -78.623699999999999)"
1825,"(35.819580000000002, -78.623900000000006)"
1827,"(35.821330000000003, -78.628799999999998)"
1830,"(35.823189999999997, -78.608900000000006)"
1832,"(35.824019999999997, -78.587699999999998)"
1835,"(35.825360000000003, -78.619799999999998)"
1839,"(35.82741, -78.620199999999997)"
1845,"(35.83408, -78.563199999999995)"
1847,"(35.834820000000001, -78.602199999999996)"
1853,"(35.835709999999999, -78.610200000000006)"
1855,"(35.836019999999998, -78.611099999999993)"
1856,"(35.836080000000003, -78.581500000000005)"
1858,"(35.837719999999997, -78.608400000000003)"
1859,"(35.838729999999998, -78.612399999999994)"
1860,"(35.839390000000002, -78.673599999999993)"
1861,"(35.839449999999999, -78.677099999999996)"
1862,"(35.839779999999998, -78.691999999999993)"
1863,"(35.839930000000003, -78.665499999999994)"
1866,"(35.840940000000003, -78.613100000000003)"
1867,"(35.84198, -78.575900000000004)"
1868,"(35.843609999999998, -78.548100000000005)"
1869,"(35.844000000000001, -78.643799999999999)"
1870,"(35.844119999999997, -78.614199999999997)"
1871,"(35.84498, -78.569299999999998)"
1872,"(35.845320000000001, -78.653999999999996)"
1874,"(35.845999999999997, -78.643500000000003)"
1875,"(35.84657, -78.563400000000001)"
1877,"(35.847430000000003, -78.644199999999998)"
1879,"(35.849080000000001, -78.602800000000002)"
1880,"(35.849229999999999, -78.601699999999994)"
1882,"(35.850479999999997, -78.614699999999999)"
1883,"(35.850720000000003, -78.614599999999996)"
1884,"(35.850949999999997, -78.614400000000003)"
1886,"(35.851640000000003, -78.614500000000007)"
1889,"(35.855539999999998, -78.575800000000001)"
1890,"(35.855719999999998, -78.639799999999994)"
1891,"(35.856499999999997, -78.600499999999997)"
1892,"(35.856769999999997, -78.712500000000006)"
1893,"(35.857500000000002, -78.581699999999998)"
1894,"(35.857950000000002, -78.680700000000002)"
1896,"(35.858289999999997, -78.704700000000003)"
1901,"(35.859250000000003, -78.704499999999996)"
1902,"(35.859740000000002, -78.713099999999997)"
1903,"(35.859760000000001, -78.582300000000004)"
1904,"(35.85989, -78.720699999999994)"
1905,"(35.863689999999998, -78.602199999999996)"
1906,"(35.864930000000001, -78.645200000000003)"
1907,"(35.865699999999997, -78.642399999999995)"
1910,"(35.86777, -78.621099999999998)"
1911,"(35.868299999999998, -78.620699999999999)"
1912,"(35.868510000000001, -78.620400000000004)"
1914,"(35.869689999999999, -78.544799999999995)"
1915,"(35.870049999999999, -78.583200000000005)"
1917,"(35.875360000000001, -78.623099999999994)"
1918,"(35.875680000000003, -78.722399999999993)"
1920,"(35.876559999999998, -78.645399999999995)"
1922,"(35.879280000000001, -78.539299999999997)"
1923,"(35.879289999999997, -78.595500000000001)"
1924,"(35.879300000000001, -78.625100000000003)"
1925,"(35.879620000000003, -78.625200000000007)"
1926,"(35.87997, -78.735699999999994)"
1928,"(35.882080000000002, -78.737399999999994)"
1929,"(35.882579999999997, -78.657399999999996)"
1930,"(35.882660000000001, -78.548699999999997)"
1931,"(35.883339999999997, -78.658000000000001)"
1932,"(35.883429999999997, -78.561499999999995)"
1934,"(35.887360000000001, -78.565200000000004)"
1935,"(35.888649999999998, -78.678399999999996)"
1938,"(35.891390000000001, -78.717799999999997)"
1940,"(35.893160000000002, -78.508499999999998)"
1962,"(35.903799999999997, -78.656999999999996)"
1967,"(35.906010000000002, -78.593000000000004)"
2006,"(35.920610000000003, -78.757800000000003)"
1414,"(35.725639999999999, -78.581100000000006)"
1422,"(35.731439999999999, -78.622299999999996)"
1438,"(35.740369999999999, -78.630300000000005)"
1440,"(35.741439999999997, -78.588899999999995)"
1443,"(35.743090000000002, -78.650599999999997)"
1447,"(35.743870000000001, -78.680400000000006)"
1449,"(35.745190000000001, -78.649000000000001)"
1459,"(35.748489999999997, -78.644800000000004)"
1462,"(35.75009, -78.694999999999993)"
1463,"(35.750430000000001, -78.693399999999997)"
1471,"(35.755589999999998, -78.597899999999996)"
1473,"(35.756450000000001, -78.649299999999997)"
1474,"(35.756680000000003, -78.699700000000007)"
1477,"(35.757840000000002, -78.6126)"
1483,"(35.759639999999997, -78.639700000000005)"
1484,"(35.759790000000002, -78.637900000000002)"
1485,"(35.759819999999998, -78.644400000000005)"
1487,"(35.760449999999999, -78.613699999999994)"
1488,"(35.761229999999998, -78.558000000000007)"
1492,"(35.763219999999997, -78.727000000000004)"
1501,"(35.765740000000001, -78.599900000000005)"
1502,"(35.765860000000004, -78.582599999999999)"
1503,"(35.765860000000004, -78.635800000000003)"
1505,"(35.766829999999999, -78.632900000000006)"
1506,"(35.767040000000001, -78.637200000000007)"
1507,"(35.767629999999997, -78.622699999999995)"
1508,"(35.767670000000003, -78.637100000000004)"
1510,"(35.76811, -78.579899999999995)"
1512,"(35.768970000000003, -78.709299999999999)"
1514,"(35.769440000000003, -78.594499999999996)"
1518,"(35.770499999999998, -78.729100000000003)"
1520,"(35.770769999999999, -78.648200000000003)"
1521,"(35.770910000000001, -78.606899999999996)"
1522,"(35.770940000000003, -78.641800000000003)"
1523,"(35.771050000000002, -78.619100000000003)"
1524,"(35.772419999999997, -78.588899999999995)"
1525,"(35.773299999999999, -78.625900000000001)"
1528,"(35.775010000000002, -78.641099999999994)"
1529,"(35.775039999999997, -78.646100000000004)"
1530,"(35.775599999999997, -78.638499999999993)"
1531,"(35.775660000000002, -78.6404)"
1532,"(35.775689999999997, -78.656999999999996)"
1533,"(35.776040000000002, -78.605699999999999)"
1534,"(35.776200000000003, -78.640299999999996)"
1536,"(35.776649999999997, -78.683199999999999)"
1537,"(35.77693, -78.640199999999993)"
1538,"(35.776980000000002, -78.638300000000001)"
1539,"(35.777000000000001, -78.643500000000003)"
1540,"(35.777760000000001, -78.636600000000001)"
1541,"(35.778309999999998, -78.639300000000006)"
1542,"(35.778399999999998, -78.677899999999994)"
1543,"(35.778480000000002, -78.6434)"
1544,"(35.780000000000001, -78.614400000000003)"
1545,"(35.780009999999997, -78.606700000000004)"
1546,"(35.780239999999999, -78.621799999999993)"
1547,"(35.780279999999998, -78.643600000000006)"
1548,"(35.780650000000001, -78.675299999999993)"
1549,"(35.780670000000001, -78.624899999999997)"
1550,"(35.78069, -78.6477)"
1551,"(35.780729999999998, -78.675299999999993)"
1552,"(35.78078, -78.675600000000003)"
1553,"(35.781089999999999, -78.638199999999998)"
1554,"(35.781140000000001, -78.640000000000001)"
1555,"(35.781280000000002, -78.643299999999996)"
1557,"(35.78199, -78.625100000000003)"
1558,"(35.782170000000001, -78.642899999999997)"
1561,"(35.782359999999997, -78.656999999999996)"
1562,"(35.78257, -78.669899999999998)"
1564,"(35.782719999999998, -78.6417)"
1565,"(35.783110000000001, -78.614699999999999)"
1567,"(35.783360000000002, -78.641499999999994)"
1568,"(35.783619999999999, -78.622100000000003)"
1569,"(35.78369, -78.656599999999997)"
1570,"(35.784689999999998, -78.590699999999998)"
1572,"(35.785020000000003, -78.587100000000007)"
1573,"(35.78546, -78.647300000000001)"
1575,"(35.786029999999997, -78.634399999999999)"
1577,"(35.786119999999997, -78.637799999999999)"
1579,"(35.786720000000003, -78.664199999999994)"
1581,"(35.788049999999998, -78.669300000000007)"
1582,"(35.788600000000002, -78.647000000000006)"
1584,"(35.789560000000002, -78.676100000000005)"
1585,"(35.789569999999998, -78.676299999999998)"
1586,"(35.789610000000003, -78.676400000000001)"
1588,"(35.790610000000001, -78.659300000000002)"
1589,"(35.790689999999998, -78.650300000000001)"
1590,"(35.790860000000002, -78.662700000000001)"
1592,"(35.790889999999997, -78.715800000000002)"
1595,"(35.791710000000002, -78.661000000000001)"
1596,"(35.792070000000002, -78.672200000000004)"
1597,"(35.793210000000002, -78.709199999999996)"
1598,"(35.793640000000003, -78.548400000000001)"
1599,"(35.794490000000003, -78.708699999999993)"
1604,"(35.796779999999998, -78.579899999999995)"
1606,"(35.799010000000003, -78.563999999999993)"
1607,"(35.799399999999999, -78.569000000000003)"
1608,"(35.799770000000002, -78.561800000000005)"
1609,"(35.800420000000003, -78.565899999999999)"
1610,"(35.801609999999997, -78.624200000000002)"
1611,"(35.802250000000001, -78.624600000000001)"
1614,"(35.803989999999999, -78.700699999999998)"
1616,"(35.804380000000002, -78.646100000000004)"
1618,"(35.805190000000003, -78.723699999999994)"
1620,"(35.806559999999998, -78.614999999999995)"
1626,"(35.810650000000003, -78.577500000000001)"
1633,"(35.814039999999999, -78.628200000000007)"
1635,"(35.815309999999997, -78.689499999999995)"
1636,"(35.815989999999999, -78.666300000000007)"
1637,"(35.816040000000001, -78.594399999999993)"
1638,"(35.816299999999998, -78.703100000000006)"
1641,"(35.819209999999998, -78.623699999999999)"
1642,"(35.819839999999999, -78.628100000000003)"
1645,"(35.822989999999997, -78.709199999999996)"
1650,"(35.828719999999997, -78.585300000000004)"
1653,"(35.82976, -78.581100000000006)"
1659,"(35.833289999999998, -78.607399999999998)"
1660,"(35.835189999999997, -78.581999999999994)"
1661,"(35.835230000000003, -78.614999999999995)"
1662,"(35.835450000000002, -78.596800000000002)"
1663,"(35.836269999999999, -78.596900000000005)"
1666,"(35.83661, -78.680099999999996)"
1667,"(35.83663, -78.580799999999996)"
1668,"(35.836820000000003, -78.608400000000003)"
1670,"(35.83793, -78.614000000000004)"
1672,"(35.83954, -78.643000000000001)"
1675,"(35.841450000000002, -78.575500000000005)"
1676,"(35.842750000000002, -78.574200000000005)"
1677,"(35.843719999999998, -78.613900000000001)"
1679,"(35.844459999999998, -78.545199999999994)"
1680,"(35.844790000000003, -78.643699999999995)"
1681,"(35.845030000000001, -78.609899999999996)"
1682,"(35.846559999999997, -78.579400000000007)"
1683,"(35.849910000000001, -78.693899999999999)"
1684,"(35.851030000000002, -78.643500000000003)"
1689,"(35.856580000000001, -78.712500000000006)"
1690,"(35.856859999999998, -78.712299999999999)"
1691,"(35.857349999999997, -78.643600000000006)"
1692,"(35.857439999999997, -78.606999999999999)"
1694,"(35.859070000000003, -78.680499999999995)"
1698,"(35.86177, -78.706599999999995)"
1699,"(35.862810000000003, -78.711799999999997)"
1700,"(35.864400000000003, -78.637500000000003)"
1701,"(35.866230000000002, -78.6023)"
1703,"(35.868290000000002, -78.620900000000006)"
1705,"(35.869540000000001, -78.555499999999995)"
1708,"(35.871519999999997, -78.551400000000001)"
1710,"(35.87388, -78.622799999999998)"
1711,"(35.874600000000001, -78.6922)"
1712,"(35.874839999999999, -78.623500000000007)"
1714,"(35.875630000000001, -78.6233)"
1716,"(35.878399999999999, -78.645600000000002)"
1720,"(35.883879999999998, -78.566699999999997)"
1723,"(35.888599999999997, -78.563199999999995)"
1724,"(35.891379999999998, -78.717699999999994)"
1727,"(35.893430000000002, -78.758200000000002)"
1728,"(35.893650000000001, -78.550799999999995)"
1730,"(35.894680000000001, -78.727199999999996)"
1733,"(35.897320000000001, -78.661199999999994)"
1735,"(35.900260000000003, -78.7821)"
1739,"(35.901389999999999, -78.655299999999997)"
1744,"(35.902389999999997, -78.657799999999995)"
1769,"(35.913899999999998, -78.781400000000005)"
1771,"(35.914720000000003, -78.778599999999997)"
1813,"(35.942799999999998, -78.558800000000005)"
1816,"(35.945569999999996, -78.556399999999996)"
1824,"(35.94764, -78.569199999999995)"
1416,"(35.72775, -78.565200000000004)"
1431,"(35.731059999999999, -78.651200000000003)"
1432,"(35.731250000000003, -78.627099999999999)"
1439,"(35.733600000000003, -78.627899999999997)"
1442,"(35.736649999999997, -78.608199999999997)"
1447,"(35.739789999999999, -78.635900000000007)"
1448,"(35.73986, -78.630799999999994)"
1455,"(35.74492, -78.677899999999994)"
1456,"(35.745139999999999, -78.648700000000005)"
1457,"(35.745229999999999, -78.688999999999993)"
1464,"(35.74729, -78.586200000000005)"
1465,"(35.747399999999999, -78.674400000000006)"
1466,"(35.747639999999997, -78.654899999999998)"
1467,"(35.747819999999997, -78.690700000000007)"
1469,"(35.74888, -78.649199999999993)"
1470,"(35.749029999999998, -78.632900000000006)"
1471,"(35.750239999999998, -78.648799999999994)"
1473,"(35.750770000000003, -78.611800000000002)"
1476,"(35.751690000000004, -78.649199999999993)"
1482,"(35.753529999999998, -78.644000000000005)"
1484,"(35.754109999999997, -78.612499999999997)"
1485,"(35.754159999999999, -78.613)"
1487,"(35.75441, -78.649199999999993)"
1488,"(35.754469999999998, -78.615099999999998)"
1489,"(35.754510000000003, -78.612799999999993)"
1490,"(35.754539999999999, -78.612399999999994)"
1491,"(35.754840000000002, -78.606800000000007)"
1498,"(35.759079999999997, -78.549899999999994)"
1502,"(35.760300000000001, -78.617000000000004)"
1503,"(35.760759999999998, -78.615499999999997)"
1505,"(35.760930000000002, -78.613600000000005)"
1507,"(35.761760000000002, -78.663200000000003)"
1509,"(35.76285, -78.614400000000003)"
1510,"(35.763530000000003, -78.7286)"
1512,"(35.763680000000001, -78.554699999999997)"
1513,"(35.765790000000003, -78.632999999999996)"
1514,"(35.765819999999998, -78.632900000000006)"
1515,"(35.766629999999999, -78.697299999999998)"
1516,"(35.767319999999998, -78.577299999999994)"
1517,"(35.767879999999998, -78.628200000000007)"
1518,"(35.768650000000001, -78.6143)"
1520,"(35.769269999999999, -78.586799999999997)"
1521,"(35.769280000000002, -78.644599999999997)"
1523,"(35.769399999999997, -78.635300000000001)"
1525,"(35.769660000000002, -78.659199999999998)"
1527,"(35.771079999999998, -78.647999999999996)"
1532,"(35.77234, -78.626900000000006)"
1533,"(35.773310000000002, -78.692300000000003)"
1534,"(35.773409999999998, -78.611699999999999)"
1537,"(35.77525, -78.628)"
1538,"(35.77608, -78.643799999999999)"
1541,"(35.776730000000001, -78.640100000000004)"
1542,"(35.776809999999998, -78.636600000000001)"
1543,"(35.776820000000001, -78.638400000000004)"
1544,"(35.776899999999998, -78.611699999999999)"
1545,"(35.776949999999999, -78.6982)"
1547,"(35.778280000000002, -78.640100000000004)"
1548,"(35.778350000000003, -78.638400000000004)"
1549,"(35.779020000000003, -78.617699999999999)"
1550,"(35.779449999999997, -78.622299999999996)"
