,index,coordinates
0,1553,"(35.731929999999998, -78.543000000000006)"
1,1560,"(35.73348, -78.560599999999994)"
2,1572,"(35.7376, -78.535499999999999)"
3,1584,"(35.742789999999999, -78.677700000000002)"
4,1585,"(35.743189999999998, -78.650599999999997)"
5,1587,"(35.74539, -78.657200000000003)"
6,1593,"(35.74924, -78.6494)"
7,1594,"(35.749380000000002, -78.648700000000005)"
8,1599,"(35.751350000000002, -78.560599999999994)"
9,1601,"(35.751690000000004, -78.649199999999993)"
10,1604,"(35.753369999999997, -78.634699999999995)"
11,1605,"(35.753390000000003, -78.634)"
12,1607,"(35.754069999999999, -78.612300000000005)"
13,1609,"(35.754350000000002, -78.641599999999997)"
14,1610,"(35.754399999999997, -78.682599999999994)"
15,1619,"(35.758569999999999, -78.582999999999998)"
16,1621,"(35.759740000000001, -78.649100000000004)"
17,1629,"(35.761629999999997, -78.639499999999998)"
18,1633,"(35.763489999999997, -78.631500000000003)"
19,1634,"(35.763629999999999, -78.635599999999997)"
20,1635,"(35.763739999999999, -78.587599999999995)"
21,1636,"(35.763820000000003, -78.662800000000004)"
22,1637,"(35.764040000000001, -78.637)"
23,1638,"(35.764650000000003, -78.662800000000004)"
24,1640,"(35.76661, -78.695800000000006)"
25,1642,"(35.768239999999999, -78.637100000000004)"
26,1643,"(35.768689999999999, -78.620099999999994)"
27,1644,"(35.76896, -78.709299999999999)"
28,1645,"(35.768999999999998, -78.648200000000003)"
29,1646,"(35.76914, -78.613299999999995)"
30,1648,"(35.76943, -78.636899999999997)"
31,1649,"(35.769669999999998, -78.633700000000005)"
32,1650,"(35.770009999999999, -78.683199999999999)"
33,1654,"(35.770490000000002, -78.722999999999999)"
34,1655,"(35.770679999999999, -78.632800000000003)"
35,1659,"(35.77149, -78.633799999999994)"
36,1660,"(35.771909999999998, -78.593000000000004)"
37,1661,"(35.772129999999997, -78.592299999999994)"
38,1664,"(35.772399999999998, -78.648700000000005)"
39,1665,"(35.772629999999999, -78.714799999999997)"
40,1672,"(35.773980000000002, -78.628299999999996)"
41,1673,"(35.774149999999999, -78.638900000000007)"
42,1676,"(35.774560000000001, -78.591800000000006)"
43,1680,"(35.775149999999996, -78.627099999999999)"
44,1681,"(35.775539999999999, -78.624899999999997)"
45,1682,"(35.775579999999998, -78.680999999999997)"
46,1683,"(35.775649999999999, -78.6404)"
47,1684,"(35.77572, -78.643799999999999)"
